ID,name,id,Null,Christinaity,Islam,Buddhism,Judaism,Hinduism
1,Afghanistan,AFG,0,0,30112680,0,0,0
2,Algeria,DZA,0,0,36092810,0,0,0
3,Angola,AGO,0,0,0,0,0,0
4,Argentina,ARG,0,33497100,0,0,181800,0
5,Australia,AUS,0,0,0,0,97300,0
6,Austria,AUT,0,0,0,0,0,0
7,Azerbaijan,AZE,0,0,0,0,0,0
8,Bangladesh,BGD,0,0,132937800,0,0,14274430
9,Belarus,BLR,0,0,0,0,12000,0
10,Belgium,BEL,0,0,0,0,30000,0
11,Benin,BEN,0,0,0,0,0,0
12,Bhutan,BTN,0,0,0,0,0,177100
13,Bosnia and Herzegovina,BIH,0,0,0,0,0,0
14,Brazil,BRA,0,169213130,0,0,95300,0
15,Bulgaria,BGR,0,0,0,0,0,0
16,Burundi,BDI,0,0,0,0,0,0
17,Cameroon,CMR,0,0,0,0,0,0
18,Cambodia,KHM,0,0,0,13690000,0,0
19,Canada,CAN,0,0,0,0,375000,333901
20,Chile,CHL,0,0,0,0,18500,0
21,China,CHN,0,67070000,20095870,244130000,0,0
22,Taiwan,TWN,0,0,0,0,0,0
23,Colombia,COL,0,44502000,0,0,0,0
24,Comoros,COM,0,0,0,0,0,0
25,Costa Rica,CRI,0,0,0,0,0,0
26,Côte d'Ivoire,CIV,0,0,0,0,0,0
27,Cuba,CUB,0,0,0,0,0,0
28,Cyprus,CYP,0,0,0,0,0,0
29,Czech Republic,CZE,0,0,0,0,0,0
30,North Korea,PRK,0,0,0,0,0,0
31,Democratic Republic of the Congo,COD,0,63150000,0,0,0,0
32,Denmark,DNK,0,0,0,0,0,0
33,Dominican Republic,DOM,0,0,0,0,0,0
34,Ecuador,ECU,0,0,0,0,0,0
35,Egypt,EGY,0,0,70056000,0,0,0
36,Ethiopia,ETH,0,51477950,28120050,0,0,0
37,Fiji,FJI,0,0,0,0,0,261097
38,Finland,FIN,0,0,0,0,0,0
39,France,FRA,0,55948600,0,0,493600,0
40,French Polynesia,PYF,0,0,0,0,0,0
41,Germany,DEU,0,50752580,0,0,119000,120000
42,Ghana,GHA,0,0,0,0,0,0
43,Greece,GRC,0,0,0,0,0,0
44,Guatemala,GTM,0,0,0,0,0,0
45,Guinea,GIN,0,0,0,0,0,0
46,Haiti,HTI,0,0,0,0,0,0
47,Hungary,HUN,0,0,0,0,48200,0
48,India,IND,0,0,160945000,9250000,0,957636314
49,Indonesia,IDN,0,0,206986560,0,0,4012470
50,Iran,IRN,0,0,73238340,0,0,0
51,Iraq,IRQ,0,0,29767300,0,0,0
52,Ireland,IRL,0,0,0,0,0,0
53,Israel,ISR,0,0,0,0,5907500,0
54,Italy,ITA,0,55832000,0,0,28200,0
55,Jamaica,JAM,0,0,0,0,0,0
56,Japan,JPN,0,0,0,45820000,0,0
57,Kazakhstan,KAZ,0,0,0,0,0,0
58,Kenya,KEN,0,33625790,0,0,0,0
59,Kuwait,,0,0,0,0,0,328440
60,Kyrgyzstan,KGZ,0,0,0,0,0,0
61,Latvia,LVA,0,0,0,0,0,0
62,Lebanon,LBN,0,0,0,0,0,0
63,Liberia,LBR,0,0,0,0,0,0
64,Libya,LBY,0,0,0,0,0,0
65,Lithuania,LTU,0,0,0,0,0,0
66,Madagascar,MDG,0,0,0,0,0,0
67,Malawi,MWI,0,0,0,0,0,0
68,Malaysia,MYS,0,0,17085402,5010000,0,1700100
69,Mali,MLI,0,0,0,0,0,0
70,Mauritus,KWT,0,0,0,0,0,665820
71,Mexico,MEX,0,106204560,0,0,39200,0
72,Morocco,MAR,0,0,31351800,0,0,0
73,Mozambique,MOZ,0,0,0,0,0,0
74,Myanmar,MMR,0,0,0,38410000,0,203000
75,Nepal,NPL,0,0,0,0,0,21354570
76,Netherlands,NLD,0,0,0,0,0,0
77,New Zealand,NZL,0,0,0,0,0,0
78,Nigeria,NGA,0,80510000,80000000,0,0,0
79,Norway,NOR,0,0,0,0,0,0
80,Pakistan,PAK,0,0,180608292,0,0,2603895
81,Papua New Guinea,PNG,0,0,0,0,0,0
82,Peru,PER,0,0,0,0,0,0
83,Philippines,PHL,0,78790000,0,0,0,0
84,Poland,POL,0,36526000,0,0,0,0
85,Portugal,PRT,0,0,0,0,0,0
86,South Korea,KOR,0,0,0,11050000,0,0
87,Romania,ROU,0,0,0,0,0,0
88,Russia,RUS,0,67640000,0,0,194000,0
89,Rwanda,RWA,0,,0,0,0,0
90,Saudi Arabia,SAU,0,0,26624560,0,0,0
91,Serbia,SRB,0,0,0,0,0,0
92,Sierra Leone,SLE,0,0,0,0,0,0
93,Singapore,SGP,0,0,0,0,0,264370
94,Solomon Islands,SLB,0,0,0,0,0,0
95,South Africa,ZAF,0,40243000,0,0,67000,749870
96,Spain,ESP,0,38568000,0,0,0,0
97,Sri Lanka,LKA,0,0,0,14450000,0,2554606
98,Sweden,SWE,0,0,0,0,0,0
99,Switzerland,CHE,0,0,0,0,0,0
100,Sudan,SDN,0,0,30064180,0,0,0
101,Syria,SYR,0,0,19601750,0,0,0
102,Thailand,THA,0,0,0,64420000,0,0
103,Macedonia,MKD,0,0,0,0,0,0
104,Togo,TGO,0,0,0,0,0,0
105,Tonga,TON,0,0,0,0,0,0
106,Trinidad and Tobago,TTO,0,0,0,0,0,240100
107,Tunisia,TUN,0,0,0,0,0,0
108,Turkey,TUR,0,0,70036838,0,17400,0
109,Turkmenistan,TKM,0,0,0,0,0,0
110,Uganda,UGA,0,0,0,0,0,0
111,Ukraine,UKR,0,41973000,0,0,70200,0
112,United Arab Emirates,ARE,0,0,0,0,0,1239610
113,United Kingdom,GBR,0,33200417,0,0,291000,630000
114,United Republic of Tanzania,TZA,0,0,0,0,0,0
115,Uruguay,URY,0,0,0,0,17300,0
116,Uzbekistan,UZB,0,0,25628240,0,0,0
117,United States of America,USA,0,229157250,0,0,6588065,1543730
118,Vanuatu,VUT,0,0,0,0,0,0
119,Venezuela,VEN,0,0,0,0,0,0
120,Vietnam,VNM,0,0,0,14380000,0,0
121,Yemen,YEM,0,0,23836523,0,0,0
122,Zimbabwe,ZWE,0,0,0,0,0,0
